mode,source_asset,target_asset,source_business,target_business,source_tier,target_tier,target_port,reachable,attempts,stable,elapsed_ms,error
baseline,customer_app,customer_db,customer,customer,app,db,5432,true,3,true,1.646,
baseline,customer_app,loan_app,customer,loan,app,app,8000,true,3,true,0.221,
baseline,customer_app,loan_db,customer,loan,app,db,5432,true,3,true,0.221,
baseline,customer_app,credit_app,customer,credit,app,app,8000,true,3,true,0.206,
baseline,customer_app,credit_db,customer,credit,app,db,5432,true,3,true,0.185,
baseline,customer_app,aml_app,customer,aml,app,app,8000,true,3,true,0.175,
baseline,customer_app,aml_db,customer,aml,app,db,5432,true,3,true,0.239,
baseline,customer_app,approval_app,customer,approval,app,app,8000,true,3,true,0.217,
baseline,customer_app,approval_db,customer,approval,app,db,5432,true,3,true,0.237,
baseline,customer_db,customer_app,customer,customer,db,app,8000,true,3,true,1.565,
baseline,customer_db,loan_app,customer,loan,db,app,8000,true,3,true,0.316,
baseline,customer_db,loan_db,customer,loan,db,db,5432,true,3,true,0.236,
baseline,customer_db,credit_app,customer,credit,db,app,8000,true,3,true,0.245,
baseline,customer_db,credit_db,customer,credit,db,db,5432,true,3,true,0.205,
baseline,customer_db,aml_app,customer,aml,db,app,8000,true,3,true,0.586,
baseline,customer_db,aml_db,customer,aml,db,db,5432,true,3,true,0.315,
baseline,customer_db,approval_app,customer,approval,db,app,8000,true,3,true,0.257,
baseline,customer_db,approval_db,customer,approval,db,db,5432,true,3,true,0.256,
baseline,loan_app,customer_app,loan,customer,app,app,8000,true,3,true,1.785,
baseline,loan_app,customer_db,loan,customer,app,db,5432,true,3,true,0.273,
baseline,loan_app,loan_db,loan,loan,app,db,5432,true,3,true,0.229,
baseline,loan_app,credit_app,loan,credit,app,app,8000,true,3,true,0.224,
baseline,loan_app,credit_db,loan,credit,app,db,5432,true,3,true,0.204,
baseline,loan_app,aml_app,loan,aml,app,app,8000,true,3,true,0.187,
baseline,loan_app,aml_db,loan,aml,app,db,5432,true,3,true,0.178,
baseline,loan_app,approval_app,loan,approval,app,app,8000,true,3,true,0.211,
baseline,loan_app,approval_db,loan,approval,app,db,5432,true,3,true,0.212,
baseline,loan_db,customer_app,loan,customer,db,app,8000,true,3,true,1.641,
baseline,loan_db,customer_db,loan,customer,db,db,5432,true,3,true,0.306,
baseline,loan_db,loan_app,loan,loan,db,app,8000,true,3,true,0.250,
baseline,loan_db,credit_app,loan,credit,db,app,8000,true,3,true,0.271,
baseline,loan_db,credit_db,loan,credit,db,db,5432,true,3,true,0.224,
baseline,loan_db,aml_app,loan,aml,db,app,8000,true,3,true,0.261,
baseline,loan_db,aml_db,loan,aml,db,db,5432,true,3,true,0.227,
baseline,loan_db,approval_app,loan,approval,db,app,8000,true,3,true,0.274,
baseline,loan_db,approval_db,loan,approval,db,db,5432,true,3,true,0.242,
baseline,credit_app,customer_app,credit,customer,app,app,8000,true,3,true,1.334,
baseline,credit_app,customer_db,credit,customer,app,db,5432,true,3,true,0.321,
baseline,credit_app,loan_app,credit,loan,app,app,8000,true,3,true,0.218,
baseline,credit_app,loan_db,credit,loan,app,db,5432,true,3,true,0.214,
baseline,credit_app,credit_db,credit,credit,app,db,5432,true,3,true,0.184,
baseline,credit_app,aml_app,credit,aml,app,app,8000,true,3,true,0.227,
baseline,credit_app,aml_db,credit,aml,app,db,5432,true,3,true,0.264,
baseline,credit_app,approval_app,credit,approval,app,app,8000,true,3,true,0.327,
baseline,credit_app,approval_db,credit,approval,app,db,5432,true,3,true,0.278,
baseline,credit_db,customer_app,credit,customer,db,app,8000,true,3,true,2.139,
baseline,credit_db,customer_db,credit,customer,db,db,5432,true,3,true,0.308,
baseline,credit_db,loan_app,credit,loan,db,app,8000,true,3,true,0.291,
baseline,credit_db,loan_db,credit,loan,db,db,5432,true,3,true,0.227,
baseline,credit_db,credit_app,credit,credit,db,app,8000,true,3,true,0.210,
baseline,credit_db,aml_app,credit,aml,db,app,8000,true,3,true,0.222,
baseline,credit_db,aml_db,credit,aml,db,db,5432,true,3,true,0.197,
baseline,credit_db,approval_app,credit,approval,db,app,8000,true,3,true,0.222,
baseline,credit_db,approval_db,credit,approval,db,db,5432,true,3,true,0.271,
baseline,aml_app,customer_app,aml,customer,app,app,8000,true,3,true,1.839,
baseline,aml_app,customer_db,aml,customer,app,db,5432,true,3,true,0.230,
baseline,aml_app,loan_app,aml,loan,app,app,8000,true,3,true,0.251,
baseline,aml_app,loan_db,aml,loan,app,db,5432,true,3,true,0.168,
baseline,aml_app,credit_app,aml,credit,app,app,8000,true,3,true,0.218,
baseline,aml_app,credit_db,aml,credit,app,db,5432,true,3,true,0.199,
baseline,aml_app,aml_db,aml,aml,app,db,5432,true,3,true,0.251,
baseline,aml_app,approval_app,aml,approval,app,app,8000,true,3,true,0.244,
baseline,aml_app,approval_db,aml,approval,app,db,5432,true,3,true,0.254,
baseline,aml_db,customer_app,aml,customer,db,app,8000,true,3,true,1.835,
baseline,aml_db,customer_db,aml,customer,db,db,5432,true,3,true,0.305,
baseline,aml_db,loan_app,aml,loan,db,app,8000,true,3,true,0.306,
baseline,aml_db,loan_db,aml,loan,db,db,5432,true,3,true,0.270,
baseline,aml_db,credit_app,aml,credit,db,app,8000,true,3,true,0.227,
baseline,aml_db,credit_db,aml,credit,db,db,5432,true,3,true,0.209,
baseline,aml_db,aml_app,aml,aml,db,app,8000,true,3,true,0.195,
baseline,aml_db,approval_app,aml,approval,db,app,8000,true,3,true,0.237,
baseline,aml_db,approval_db,aml,approval,db,db,5432,true,3,true,0.199,
baseline,approval_app,customer_app,approval,customer,app,app,8000,true,3,true,1.445,
baseline,approval_app,customer_db,approval,customer,app,db,5432,true,3,true,0.275,
baseline,approval_app,loan_app,approval,loan,app,app,8000,true,3,true,0.291,
baseline,approval_app,loan_db,approval,loan,app,db,5432,true,3,true,0.215,
baseline,approval_app,credit_app,approval,credit,app,app,8000,true,3,true,0.239,
baseline,approval_app,credit_db,approval,credit,app,db,5432,true,3,true,0.209,
baseline,approval_app,aml_app,approval,aml,app,app,8000,true,3,true,0.297,
baseline,approval_app,aml_db,approval,aml,app,db,5432,true,3,true,0.276,
baseline,approval_app,approval_db,approval,approval,app,db,5432,true,3,true,0.234,
baseline,approval_db,customer_app,approval,customer,db,app,8000,true,3,true,1.387,
baseline,approval_db,customer_db,approval,customer,db,db,5432,true,3,true,0.306,
baseline,approval_db,loan_app,approval,loan,db,app,8000,true,3,true,0.374,
baseline,approval_db,loan_db,approval,loan,db,db,5432,true,3,true,0.233,
baseline,approval_db,credit_app,approval,credit,db,app,8000,true,3,true,0.286,
baseline,approval_db,credit_db,approval,credit,db,db,5432,true,3,true,0.266,
baseline,approval_db,aml_app,approval,aml,db,app,8000,true,3,true,0.220,
baseline,approval_db,aml_db,approval,aml,db,db,5432,true,3,true,0.208,
baseline,approval_db,approval_app,approval,approval,db,app,8000,true,3,true,0.217,
